Time (sec),Position[2],Position[3],,,,,
1744147812.1742,-4.77443447923561E-14,5.07782395878741E-15,,,,,
1744147812.18471,-4.80697420535755E-14,6.44940505667436E-14,,,,,
1744147812.19549,-4.85068726912522E-14,1.14450284811538E-13,,,,,
1744147812.20641,-4.90491710480803E-14,1.4614402532552E-13,,,,,
1744147812.21705,-4.96851731497585E-14,1.59993789326102E-13,,,,,
1744147812.22751,-5.04078976016579E-14,1.61189055759674E-13,,,,,
1744147812.23783,-5.12170553554792E-14,1.55181540311029E-13,,,,,
1744147812.24864,-5.21172213649197E-14,1.45882019196922E-13,,,,,
1744147812.25852,-5.3115893430103E-14,1.35603896442987E-13,,,,,
1744147812.26922,-5.42222663443934E-14,1.25539241929533E-13,,,,,
1744147812.27982,-5.54468102481707E-14,1.1621844790144E-13,,,,,
1744147812.2898,-5.68012295917777E-14,1.0782034917025E-13,,,,,
1744147812.30043,-5.82986237600725E-14,1.00353087010077E-13,,,,,
1744147812.3108,-5.9953741914149E-14,9.37506558973922E-14,,,,,
1744147812.32193,-6.17833948797421E-14,8.79214011752402E-14,,,,,
1744147812.33297,-6.38066796312877E-14,8.27705090383769E-14,,,,,
1744147812.34326,-6.6045476615459E-14,7.82099728991079E-14,,,,,
1744147812.35472,-6.85248728610644E-14,7.41619410783366E-14,,,,,
1744147812.36511,-7.1273337240329E-14,7.05591063051953E-14,,,,,
1744147812.37568,-7.43232777488106E-14,6.73441868178846E-14,,,,,
1744147812.38659,-7.77108717735503E-14,6.44685392896251E-14,,,,,
1744147812.39698,-8.14756831528645E-14,6.18910123932789E-14,,,,,
1744147812.40744,-8.56592009428678E-14,5.9576771580406E-14,,,,,
1744147812.41721,-9.03012528766853E-14,5.74962986608139E-14,,,,,
1744147812.42819,-9.54324491258326E-14,5.56244800969508E-14,,,,,
1744147812.43842,-1.01059234079603E-13,5.39400250583901E-14,,,,,
1744147812.4486,-1.07133830959803E-13,5.24246369558447E-14,,,,,
1744147812.45897,-1.13496611813215E-13,5.10627523652841E-14,,,,,
1744147812.46985,-1.19764452226569E-13,4.98410208277322E-14,,,,,
1744147812.48072,-1.251234411953E-13,4.87480167767498E-14,,,,,
1744147812.49148,-1.27967522285728E-13,4.77741017363387E-14,,,,,
1744147812.50228,-1.25369196976476E-13,4.69112155036031E-14,,,,,
1744147812.51337,-1.12671940752609E-13,4.61530917287993E-14,,,,,
1744147812.52334,-8.43460468218366E-14,4.54952443763609E-14,,,,,
1744147812.5346,-3.7953075688671E-14,4.49346669130058E-14,,,,,
1744147812.54458,2.02073715473301E-14,4.44683022409735E-14,,,,,
1744147812.55536,7.59561092048151E-14,4.40914573233976E-14,,,,,
1744147812.56579,1.17032607202091E-13,4.37985269231379E-14,,,,,
1744147812.5766,1.40004074270035E-13,4.35850572799713E-14,,,,,
1744147812.587,1.48236443049761E-13,4.34486544145147E-14,,,,,
1744147812.59687,1.47026309060218E-13,4.3388509610203E-14,,,,,
1744147812.6105,1.40787260177655E-13,4.34048091058646E-14,,,,,
1744147812.6207,1.32397748002411E-13,4.34983384740008E-14,,,,,
1744147812.63173,1.23483222742944E-13,4.36702766532898E-14,,,,,
1744147812.64158,1.14861285160654E-13,4.39222464850079E-14,,,,,
1744147812.65295,1.06889233268332E-13,4.42563160625645E-14,,,,,
1744147812.663,9.96827090996866E-14,4.46751495485243E-14,,,,,
1744147812.67395,9.32402064268504E-14,4.51819651395383E-14,,,,,
1744147812.68428,8.75086709007146E-14,4.57806579267787E-14,,,,,
1744147812.69416,8.24169061087986E-14,4.64759104506796E-14,,,,,
1744147812.70501,7.78914839439747E-14,4.72732525827777E-14,,,,,
1744147812.71504,7.38636935543475E-14,4.81791840270057E-14,,,,,
1744147812.72635,7.02722571070656E-14,4.92013110850198E-14,,,,,
1744147812.7374,6.70637088525065E-14,5.03484584984302E-14,,,,,
1744147812.74823,6.41919172621683E-14,5.16310319924551E-14,,,,,
1744147812.75823,6.16174839063284E-14,5.3061032302786E-14,,,,,
1744147812.76849,5.93067283155491E-14,5.46524681346432E-14,,,,,
1744147812.77887,5.72308935179831E-14,5.64217436566317E-14,,,,,
1744147812.78928,5.53653977501395E-14,5.83879205930641E-14,,,,,
1744147812.79979,5.36892562383121E-14,6.0573368298031E-14,,,,,
1744147812.8104,5.21844059642433E-14,6.30042355595283E-14,,,,,
1744147812.82119,5.08354161695908E-14,6.57112090395349E-14,,,,,
1744147812.83123,4.96289817285819E-14,6.87303413605266E-14,,,,,
1744147812.8416,4.8553669221088E-14,7.2103953541155E-14,,,,,
1744147812.85275,4.75996534579441E-14,7.58814550325597E-14,,,,,
1744147812.86218,4.67584465456025E-14,8.01204339717452E-14,,,,,
1744147812.87382,4.60227968317139E-14,8.48869711190955E-14,,,,,
1744147812.88372,4.53865136845038E-14,9.02550126982395E-14,,,,,
1744147812.89409,4.48443057907945E-14,9.63036800979671E-14,,,,,
1744147812.90489,4.43917181435306E-14,1.03109085812788E-13,,,,,
1744147812.9154,4.40250231675516E-14,1.1072582098031E-13,,,,,
1744147812.92618,4.37411534380711E-14,1.19146279341652E-13,,,,,
1744147812.93595,4.3537603147028E-14,1.28215783915548E-13,,,,,
1744147812.94731,4.34123893157541E-14,1.37460949122944E-13,,,,,
1744147812.95703,4.33639575100419E-14,1.45759623533361E-13,,,,,
1744147812.96692,4.33911379096287E-14,1.50777852367138E-13,,,,,
1744147812.97763,4.34932099673033E-14,1.48268976013941E-13,,,,,
1744147812.98832,4.36703851770282E-14,1.32054121142816E-13,,,,,
1744147812.99997,4.39246721114192E-14,9.67458456879471E-14,,,,,
1744147813.00981,4.42605467771729E-14,4.39347322682934E-14,,,,,
1744147813.02109,4.46837428284005E-14,-1.47725283963916E-14,,,,,
1744147813.03173,4.51987496074851E-14,-6.50326089007263E-14,,,,,
1744147813.0432,4.58083597210675E-14,-9.92591361154845E-14,,,,,
1744147813.05541,4.65151725845139E-14,-1.17842427040985E-13,,,,,
1744147813.0659,4.73230107829761E-14,-1.24946563330639E-13,,,,,
1744147813.07614,4.82374050214716E-14,-1.24968177659889E-13,,,,,
1744147813.08786,4.92656111061991E-14,-1.21174057043246E-13,,,,,
1744147813.09838,5.04164986240813E-14,-1.15621431463864E-13,,,,,
1744147813.10855,5.17006195456569E-14,-1.09481584342473E-13,,,,,
1744147813.11925,5.31303230149855E-14,-1.03370218290581E-13,,,,,
1744147813.1295,5.47200887418162E-14,-9.75836466021861E-14,,,,,
1744147813.14068,5.64867208569354E-14,-9.2244126624762E-14,,,,,
1744147813.15084,5.84499634679506E-14,-8.73838981399002E-14,,,,,
1744147813.16206,6.06329011093629E-14,-8.29908498503922E-14,,,,,
